id,country,continent
233,Ukraine,Europe
149,Montenegro,Europe
197,Serbia,Europe
107,Ireland,Europe
70,Estonia,Europe
82,Georgia,Asia
75,Finland,Europe
178,Portugal,Europe
109,Israel,Asia
15,Austria,Europe
215,Sweden,Europe
86,Greece,Europe
166,Norway,Europe
216,Switzerland,Europe
182,Romania,Europe
56,Croatia,Europe
130,Luxembourg,Europe
157,Netherlands,Europe
110,Italy,Europe
60,Czech Republic,Europe
209,Spain,Europe
29,Bosnia and Herzegovina,Europe
101,Hungary,Europe
235,United Kingdom,Europe
61,Denmark,Europe
83,Germany,Europe
22,Belgium,Europe
228,Turkey,Asia
35,Bulgaria,Europe
76,France,Europe